"dataset_ID","meantimes","Abies","Arctostaphylos","Arctostaphylos.uva.ursi","Huperzia","Huperzia.selago","Linnaea.borealis","Lycopodium","Lycopodium.annotinum","Melampyrum","Picea","Picea.abies","Pinus","Pinus.sylvestris","Taxus","Taxus.baccata","Vaccinium"
"12",5502.309,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00424448217317487",NA,"0.107809847198642",NA,NA,NA,NA
"12",5584.055,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0778443113772455",NA,NA,NA,NA
"12",5682.686,NA,NA,NA,NA,NA,NA,"0.000656598818122127",NA,NA,"0.000656598818122127",NA,"0.0807616546290217",NA,NA,NA,NA
"12",5883.728,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00109051254089422",NA,"0.0708833151581243",NA,NA,NA,NA
"12",6042.229,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0598086124401914",NA,NA,NA,NA
"12",6137.455,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.102189781021898",NA,NA,NA,NA
"12",6222.822,NA,NA,NA,NA,NA,NA,"0.000906618313689937",NA,NA,"0",NA,"0.0806890299184043",NA,NA,NA,NA
"12",6299.96,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.131578947368421",NA,NA,NA,NA
"12",6376.137,NA,NA,NA,NA,NA,NA,"0.000581395348837209",NA,NA,"0",NA,"0.0732558139534884",NA,NA,NA,NA
"12",6456.385,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.072007200720072",NA,NA,NA,NA
"12",6537.688,NA,NA,NA,NA,NA,NA,"0.00106723585912487",NA,NA,"0",NA,"0.100320170757737",NA,NA,NA,NA
"12",6635.953,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0673758865248227",NA,NA,NA,NA
"12",6828.158,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0742138364779874",NA,NA,NA,NA
"12",6993.439,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.123456790123457",NA,NA,NA,NA
"12",7066.8,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.119094488188976",NA,NA,NA,NA
