"dataset_ID","meantimes","Echium","Echium.vulgare","Gnaphalium","Portulaca","Potentilla","Potentilla.recta","Sagina","Spergularia","Verbascum","Xanthium"
"20",1487.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1635.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1780.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1926.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2072.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2226.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2391.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2586.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2933.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3273.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3584.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3890.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4193.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4516.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4949.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5307.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5648.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",5984.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",6325.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",6695.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",7113.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",7414.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",7697.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",7980.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",8268.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",8605.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",8928.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",9202.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",9473.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",9757.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10102.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10238.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10362.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10589.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",8379.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",8684.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",8986.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",9297.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",9651.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",10133.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",10498.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",10808.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",11105.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",11402.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",11743.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",12216.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",12555.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",12836.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",13084.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",13316.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",8033.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",7556.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",7184.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",6862.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",6548.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",6220.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",5834.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",5444.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",5209.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",5000.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",4798.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",4591.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",4327.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",4009.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",3784.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",3586.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",3400.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",3221.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",3042.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",2863.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",2685.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",2509.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",2328.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",2141.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",8024.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",8379.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",8715.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",9040.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",9376.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",9747.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",9971.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",10069.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",10159.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",10242.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",10326.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",10414.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",10495.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",7887.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",7631.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",7381.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
