"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"pasMMs","SPD",5.6648856952177,1,20,0.0273700499957496,"*  ",5.6648856952177,1,0.0173078448453804,"*  ","pasMMs <= SPD"
"pasMMs","clim",0.0567894916516292,1,20,0.814068791143784,"   ",0.0567894916516292,1,0.811644187855822,"   ","pasMMs <= clim"
"pasMMs","SPD|clim",2.90032302949108,2,20,0.0783419083610181,".  ",5.80064605898216,2,0.0550054488041086,".  ","pasMMs <= SPD|clim"
"wetmMMs","SPD",3.32109872681714,1,20,0.0833840535301121,".  ",3.32109872681714,1,0.0683961047820201,".  ","wetmMMs <= SPD"
"wetmMMs","clim",0.00204466520873339,1,20,0.964382013200889,"   ",0.00204466520873339,1,0.963933567404994,"   ","wetmMMs <= clim"
"wetmMMs","SPD|clim",1.66135970919462,2,20,0.215034469020288,"   ",3.32271941838923,2,0.189880622067723,"   ","wetmMMs <= SPD|clim"
"wetwMMs","SPD",0.143356407571907,1,20,0.708956182162896,"   ",0.143356407571907,1,0.704966828464341,"   ","wetwMMs <= SPD"
"wetwMMs","clim",0.383753305147702,1,20,0.542594756368519,"   ",0.383753305147702,1,0.535601344395918,"   ","wetwMMs <= clim"
"wetwMMs","SPD|clim",0.296122866668454,2,20,0.746900646040603,"   ",0.592245733336908,2,0.743696046950819,"   ","wetwMMs <= SPD|clim"
"decMMs","SPD",0.0645510669984067,1,20,0.802036022766836,"   ",0.0645510669984067,1,0.799442236562152,"   ","decMMs <= SPD"
"decMMs","clim",2.87187533044078,1,20,0.105655242522844,"   ",2.87187533044078,1,0.0901397802182618,".  ","decMMs <= clim"
"decMMs","SPD|clim",1.44160777122595,2,20,0.260093466700542,"   ",2.88321554245189,2,0.236547139105676,"   ","decMMs <= SPD|clim"
"conMMs","SPD",0.942275080165972,1,20,0.343287502019023,"   ",0.942275080165972,1,0.331693435269415,"   ","conMMs <= SPD"
"conMMs","clim",7.22785555014167,1,20,0.0141299032527821,"*  ",7.22785555014167,1,0.00717809006620199,"** ","conMMs <= clim"
"conMMs","SPD|clim",4.63627914632716,2,20,0.0221662976910843,"*  ",9.27255829265431,2,0.00969369944443639,"** ","conMMs <= SPD|clim"
"heaMWs","SPD",0.778869461811858,1,20,0.387971797628667,"   ",0.778869461811858,1,0.377487121682519,"   ","heaMWs <= SPD"
"heaMWs","clim",0.26395738593575,1,20,0.613043982202877,"   ",0.26395738593575,1,0.607414320205871,"   ","heaMWs <= clim"
"heaMWs","SPD|clim",1.01970229225589,2,20,0.378705299047653,"   ",2.03940458451179,2,0.360702308060586,"   ","heaMWs <= SPD|clim"
"araMWs","SPD",3.19056060518842,1,20,0.0892353788644954,".  ",3.19056060518842,1,0.0740646082817762,".  ","araMWs <= SPD"
"araMWs","clim",1.06730658938827,1,20,0.313886225364676,"   ",1.06730658938827,1,0.301554616892122,"   ","araMWs <= clim"
"araMWs","SPD|clim",1.97188707128556,2,20,0.165338458541973,"   ",3.94377414257112,2,0.139193939335581,"   ","araMWs <= SPD|clim"
"pasMWs","SPD",0.0161921439661103,1,20,0.900014533303745,"   ",0.0161921439661103,1,0.898743834294867,"   ","pasMWs <= SPD"
"pasMWs","clim",2.00684940274579,1,20,0.17197859507811,"   ",2.00684940274579,1,0.156590219361944,"   ","pasMWs <= clim"
"pasMWs","SPD|clim",1.08913933040016,2,20,0.355649004687543,"   ",2.17827866080032,2,0.336505989584111,"   ","pasMWs <= SPD|clim"
"wetmMWs","SPD",2.20324279566306,1,20,0.153311232199406,"   ",2.20324279566306,1,0.137720747958163,"   ","wetmMWs <= SPD"
"wetmMWs","clim",4.59875398294007,1,20,0.0444629445494897,"*  ",4.59875398294007,1,0.031995201872768,"*  ","wetmMWs <= clim"
"wetmMWs","SPD|clim",4.88376888942739,2,20,0.0187443688589972,"*  ",9.76753777885479,2,0.00756843561000575,"** ","wetmMWs <= SPD|clim"
"wetwMWs","SPD",9.42896346584247,4,8,0.0040323988814233,"** ",37.7158538633699,4,0.000000128244958626822,"***","wetwMWs <= SPD"
"wetwMWs","clim",5.59950397088449,4,8,0.0189356013042284,"*  ",22.3980158835379,4,0.000166977195362998,"***","wetwMWs <= clim"
