"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSEs","SPD|clim",2.07752505240372,2,46,0.13683359924459,"   ",4.15505010480745,2,0.125239790864429,"   ","heaSEs <= SPD|clim"
"araSEs","SPD",0.373051705982447,1,46,0.544351806828473,"   ",0.373051705982447,1,0.541345507941685,"   ","araSEs <= SPD"
"araSEs","clim",0.578546177139275,1,46,0.450764145363238,"   ",0.578546177139275,1,0.44688273792928,"   ","araSEs <= clim"
"araSEs","SPD|clim",0.385244935525368,2,46,0.682458109057696,"   ",0.770489871050736,2,0.680283990080133,"   ","araSEs <= SPD|clim"
"pasSEs","SPD",0.912191336236556,1,46,0.344526128095994,"   ",0.912191336236556,1,0.339533660541851,"   ","pasSEs <= SPD"
"pasSEs","clim",0.66378292817954,1,46,0.419425737388774,"   ",0.66378292817954,1,0.415227595596287,"   ","pasSEs <= clim"
"pasSEs","SPD|clim",0.846396097248818,2,46,0.435528820058244,"   ",1.69279219449764,2,0.428958072792432,"   ","pasSEs <= SPD|clim"
"wetmSEs","SPD",0.456937135663576,1,46,0.502443439759457,"   ",0.456937135663576,1,0.499058896491521,"   ","wetmSEs <= SPD"
"wetmSEs","clim",2.75841992347605,1,46,0.103545852716847,"   ",2.75841992347605,1,0.0967437455881175,".  ","wetmSEs <= clim"
"wetmSEs","SPD|clim",1.52308571086748,2,46,0.228829788586186,"   ",3.04617142173496,2,0.218038045480446,"   ","wetmSEs <= SPD|clim"
"wetwSEs","SPD",2.72521245782461,1,46,0.105587100711345,"   ",2.72521245782461,1,0.0987749771076581,".  ","wetwSEs <= SPD"
"wetwSEs","clim",0.195675924262524,1,46,0.660306969014738,"   ",0.195675924262524,1,0.658233990401875,"   ","wetwSEs <= clim"
"wetwSEs","SPD|clim",1.54410880430272,2,46,0.224363949215774,"   ",3.08821760860543,2,0.213502058579218,"   ","wetwSEs <= SPD|clim"
"decSEs","SPD",0.511444261190252,1,46,0.478128521381629,"   ",0.511444261190252,1,0.474514313979473,"   ","decSEs <= SPD"
"decSEs","clim",1.76408385153602,1,46,0.190668504195237,"   ",1.76408385153602,1,0.184115946975126,"   ","decSEs <= clim"
"decSEs","SPD|clim",0.976982163032451,2,46,0.384119419516527,"   ",1.9539643260649,2,0.376445437323232,"   ","decSEs <= SPD|clim"
"conSEs","SPD",0.163252436674207,1,46,0.68805195311476,"   ",0.163252436674207,1,0.686179560488624,"   ","conSEs <= SPD"
"conSEs","clim",0.472005992711701,1,46,0.495514990359968,"   ",0.472005992711701,1,0.49206576278678,"   ","conSEs <= clim"
"conSEs","SPD|clim",0.387894491301189,2,46,0.680682102089668,"   ",0.775788982602378,2,0.678483925443904,"   ","conSEs <= SPD|clim"
