"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"wetmSWs","SPD",2.37632002515727,1,48,0.129754895494186,"   ",2.37632002515727,1,0.123187430524301,"   ","wetmSWs <= SPD"
"wetmSWs","clim",4.90332681787472,1,48,0.0315874673897365,"*  ",4.90332681787472,1,0.0268050081010873,"*  ","wetmSWs <= clim"
"wetmSWs","SPD|clim",3.42971006639608,2,48,0.0405285056027978,"*  ",6.85942013279217,2,0.0323963321967441,"*  ","wetmSWs <= SPD|clim"
"wetwSWs","SPD",6.76921030550724,1,48,0.0122964724606836,"*  ",6.76921030550724,1,0.00927438634543229,"** ","wetwSWs <= SPD"
"wetwSWs","clim",0.426627261018675,1,48,0.516765137446311,"   ",0.426627261018675,1,0.513648557544735,"   ","wetwSWs <= clim"
"wetwSWs","SPD|clim",3.47288525737602,2,48,0.0390271885043886,"*  ",6.94577051475204,2,0.0310273794144798,"*  ","wetwSWs <= SPD|clim"
"decSWs","SPD",3.75256046290224,1,48,0.0586237909210143,".  ",3.75256046290224,1,0.0527266839993577,".  ","decSWs <= SPD"
"decSWs","clim",0.547043264848075,1,48,0.463130423422371,"   ",0.547043264848075,1,0.459528337507236,"   ","decSWs <= clim"
"decSWs","SPD|clim",2.19399613120624,2,48,0.12252581056797,"   ",4.38799226241249,2,0.111470407019443,"   ","decSWs <= SPD|clim"
"conSWs","SPD",0.218010133511726,1,48,0.642672822504993,"   ",0.218010133511726,1,0.640560297428083,"   ","conSWs <= SPD"
"conSWs","clim",2.33032292638277,1,48,0.133438575674423,"   ",2.33032292638277,1,0.126875554419282,"   ","conSWs <= clim"
"conSWs","SPD|clim",1.30595852953656,2,48,0.280364352220728,"   ",2.61191705907312,2,0.27091273269526,"   ","conSWs <= SPD|clim"
"heaMMs","SPD",3.75890530342788,1,20,0.066768615071273,".  ",3.75890530342788,1,0.0525269570296739,".  ","heaMMs <= SPD"
"heaMMs","clim",0.0198492126112945,1,20,0.889368385900934,"   ",0.0198492126112945,1,0.887959027603273,"   ","heaMMs <= clim"
"heaMMs","SPD|clim",1.96940631749259,2,20,0.16568145530599,"   ",3.93881263498519,2,0.139539673892394,"   ","heaMMs <= SPD|clim"
"araMMs","SPD",8.02414557054934,1,20,0.010284721645228,"*  ",8.02414557054934,1,0.00461577960257111,"** ","araMMs <= SPD"
"araMMs","clim",0.385218807972209,1,20,0.541832330415151,"   ",0.385218807972209,1,0.534823367679686,"   ","araMMs <= clim"
"araMMs","SPD|clim",5.02824946845283,2,20,0.017018294810901,"*  ",10.0564989369057,2,0.0065502669892194,"** ","araMMs <= SPD|clim"
"pasMMs","SPD",3.14015964026453,3,12,0.0652214522224549,".  ",9.42047892079359,3,0.0241925539202102,"*  ","pasMMs <= SPD"
"pasMMs","clim",2.63497258445801,3,12,0.0976042205429612,".  ",7.90491775337404,3,0.0480181895855452,"*  ","pasMMs <= clim"
"pasMMs","SPD|clim",2.86645579247049,6,12,0.056953818092716,".  ",17.198734754823,6,0.00857995595624302,"** ","pasMMs <= SPD|clim"
"wetmMMs","SPD",4.82539938091371,1,20,0.0399982547430391,"*  ",4.82539938091371,1,0.0280433674578175,"*  ","wetmMMs <= SPD"
"wetmMMs","clim",0.00040933628746177,1,20,0.984058739830545,"   ",0.00040933628746177,1,0.983858252231795,"   ","wetmMMs <= clim"
"wetmMMs","SPD|clim",2.41357492432953,2,20,0.115088333537765,"   ",4.82714984865907,2,0.0894947849307197,".  ","wetmMMs <= SPD|clim"
"wetwMMs","SPD",0.000020584494105578,1,20,0.996424949587583,"   ",0.000020584494105578,1,0.996379999166332,"   ","wetwMMs <= SPD"
"wetwMMs","clim",0.0575663952825096,1,20,0.81282650711921,"   ",0.0575663952825096,1,0.810384538924028,"   ","wetwMMs <= clim"
"wetwMMs","SPD|clim",0.0287835906308441,2,20,0.971666883999652,"   ",0.0575671812616881,2,0.97162671083969,"   ","wetwMMs <= SPD|clim"
