"","site","long","lat","location","dataSet"
"103",1429,7.73,58.53,"Europe>Northern Europe>Scandinavia>Norway","Grostjorn.Eide.2009"
"104",1520,10.88,60.83,"Europe>Northern Europe>Scandinavia>Norway","Haugtjern.Eide.2009"
"105",1521,10.88,60.83,"Europe>Northern Europe>Scandinavia>Norway","Haugtjern.Eide.2009"
"106",1522,10.88,60.83,"Europe>Northern Europe>Scandinavia>Norway","Haugtjern.Eide.2009"
"107",1582,25.23,60.51,"Europe>Northern Europe>Scandinavia>Finland","Hirvijaervi.Luoto.2010"
"108",1583,25.23,60.51,"Europe>Northern Europe>Scandinavia>Finland","Hirvijaervi.Luoto.2010"
"109",1584,25.23,60.51,"Europe>Northern Europe>Scandinavia>Finland","Hirvijaervi.Luoto.2010"
"110",1585,25.23,60.51,"Europe>Northern Europe>Scandinavia>Finland","Hirvijaervi.Luoto.2010"
"111",1586,25.23,60.51,"Europe>Northern Europe>Scandinavia>Finland","Hirvijaervi.Luoto.2010"
"112",1587,25.23,60.51,"Europe>Northern Europe>Scandinavia>Finland","Hirvijaervi.Luoto.2010"
"113",1620,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"114",1621,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"115",1622,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"116",1623,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"117",1624,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"118",1625,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"119",1626,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"120",1627,6.98,59.83,"Europe>Northern Europe>Scandinavia>Norway","Holebudalen.Seppa.2009"
"121",1628,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"122",1629,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"123",1630,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"124",1631,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"125",1632,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"126",1633,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"127",1634,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"128",1635,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"129",1636,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"130",1637,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"131",1638,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"132",1639,14.9264,60.6519,"Europe>Northern Europe>Scandinavia>Sweden","Holtjaernen.Giesecke.2008"
"133",1810,7.43,59.77,"Europe>Northern Europe>Scandinavia>Norway","Isbenttjonn.Seppa.2009"
"134",1811,7.43,59.77,"Europe>Northern Europe>Scandinavia>Norway","Isbenttjonn.Seppa.2009"
"135",1812,7.43,59.77,"Europe>Northern Europe>Scandinavia>Norway","Isbenttjonn.Seppa.2009"
"136",1890,24.22,60.73,"Europe>Northern Europe>Scandinavia>Finland","Kaartlamminsuo.Rankama.1988"
"137",1891,24.22,60.73,"Europe>Northern Europe>Scandinavia>Finland","Kaartlamminsuo.Rankama.1988"
"138",1892,24.22,60.73,"Europe>Northern Europe>Scandinavia>Finland","Kaartlamminsuo.Rankama.1988"
"139",1893,24.22,60.73,"Europe>Northern Europe>Scandinavia>Finland","Kaartlamminsuo.Rankama.1988"
"140",1894,24.22,60.73,"Europe>Northern Europe>Scandinavia>Finland","Kaartlamminsuo.Rankama.1988"
"141",1895,24.22,60.73,"Europe>Northern Europe>Scandinavia>Finland","Kaartlamminsuo.Rankama.1988"
"142",1896,24.22,60.73,"Europe>Northern Europe>Scandinavia>Finland","Kaartlamminsuo.Rankama.1988"
