"","human.footprint.Age","human.footprint.Material"
"424",420,"charcoal"
"425",420,"charcoal"
"426",420,"charcoal"
"427",420,"mortar"
"428",420,"Wood/Charcoal"
"429",420,"Charcoal"
"430",420,"Wood"
"431",420,"Charcoal"
"432",423,"Charcoal"
"433",423,"Charcoal"
"434",425,"Charcoal"
"435",428,"Charcoal"
"436",429,"Charcoal"
"437",430,"charcoal"
"438",430,"charcoal"
"439",430,"mortar"
"440",430,"Wood"
"441",430,"Charcoal"
"442",430,"Hazel nutshell"
"443",431,"Charcoal"
"444",434,"Charcoal"
"445",435,"Nutshell"
"446",436,"Wood"
"447",438,"Charcoal"
"448",440,"bone"
"449",440,"charcoal"
"450",440,"charcoal"
"451",440,"charcoal"
"452",440,"bone"
"453",440,"Charcoal"
"454",447,"Charcoal"
"455",447,"Charcoal"
"456",449,"Charcoal"
"457",450,"charcoal"
"458",450,"charcoal"
"459",450,"Charcoal"
"460",450,"Charcoal"
"461",450,"Carboniferous soil"
"462",450,"charcoal"
"463",450,"Charcoal"
"464",453,"Charcoal"
"465",455,"Charcoal"
"466",455,"Charcoal"
"467",457,"Charcoal"
"468",459,"Charcoal"
"469",460,"charcoal"
"470",460,"Charcoal"
"471",460,"Charcoal"
"472",460,"Birchbark"
"473",464,"Charcoal"
"474",465,"Charcoal"
"475",465,"Charcoal"
"476",465,"Charcoal"
"477",468,"Charcoal"
"478",469,"Charcoal"
"479",470,"charcoal"
"480",470,"charcoal"
"481",470,"charcoal"
"482",470,"bone"
"483",470,"charcoal"
"484",470,"charcoal"
"485",470,"Charcoal"
"486",471,"Charcoal"
"487",475,"Charcoal"
"488",480,"wood"
"489",480,"mortar"
"490",480,"Charcoal"
"491",480,"Charcoal"
"492",485,"charcoal"
"493",489,"Charcoal"
"494",490,"charcoal"
"495",490,"Charcoal"
"496",490,"Wood"
"497",490,"Charcoal"
"498",491,"Cereal"
"499",497,"Charcoal"
"500",500,"charcoal"
"501",500,"charcoal"
"502",500,"mortar"
"503",500,"bone"
"504",500,"mortar"
"505",500,"mortar"
"506",500,"Charcoal"
"507",500,"Charcoal"
"508",500,"Charcoal"
"509",502,"Charcoal"
"510",504,"Charcoal"
"511",509,"Cereal"
"512",510,"Seed"
"513",510,"wood"
"514",510,"charcoal"
"515",510,"charcoal"
"516",510,"bone"
"517",510,"charcoal"
"518",510,"Charcoal"
"519",510,"Wood"
"520",510,"Charcoal"
"521",511,"Charcoal"
"522",512,"Charcoal"
"523",515,"charcoal"
"524",515,"Charcoal"
"525",520,"charcoal"
"526",521,"Charcoal"
"527",528,"Charcoal"
"528",529,"Charcoal"
"529",530,"charcoal"
"530",530,"charcoal"
"531",530,"charcoal"
"532",530,"charcoal"
"533",530,"Charcoal"
"534",530,"Charcoal"
"535",530,"Charcoal"
"536",530,"Wood"
"537",532,"Charcoal"
"538",536,"Charcoal"
"539",538,"Charcoal"
"540",538,"Charcoal"
"541",539,"Charcoal"
"542",539,"Charcoal"
"543",540,"wood"
"544",540,"bone"
"545",540,"mortar"
"546",540,"wood"
"547",540,"bone"
"548",540,"Charcoal"
"549",540,"Charcoal"
"550",540,"Charcoal"
"551",540,"Charcoal"
"552",542,"Birchbark"
"553",542,"Charcoal"
"554",544,"Charcoal"
"555",545,"Charcoal"
"556",549,"Charcoal"
"557",550,"charcoal"
"558",550,"bone"
"559",550,"charcoal"
"560",550,"charcoal"
"561",550,"Charcoal"
"562",550,"Charcoal"
"563",550,"Charcoal"
"564",550,"Charcoal"
"565",550,"Charcoal"
"566",551,"Charcoal"
"567",552,"Charcoal"
"568",553,"Charcoal"
"569",554,"Charcoal"
"570",555,"Wood"
"571",558,"Charcoal"
"572",560,"charcoal"
"573",560,"charcoal"
"574",560,"charcoal"
"575",560,"Charcoal"
"576",560,"Charcoal"
"577",564,"Wood"
"578",568,"Charcoal"
"579",569,"Charcoal"
"580",570,"Charcoal"
"581",570,"charcoal"
"582",570,"peat"
"583",570,"bone"
"584",570,"charcoal"
"585",570,"charcoal"
"586",570,"wood"
"587",570,"Charcoal"
"588",570,"charcoal"
"589",570,"Wood"
"590",570,"Charcoal"
"591",570,"Charcoal"
"592",570,"Charcoal"
"593",570,"Charcoal"
"594",570,"Charcoal"
"595",570,"Charcoal"
"596",572,"Charcoal"
"597",572,"Charcoal"
"598",574,"Charcoal"
"599",575,"charcoal"
"600",575,"charcoal"
"601",575,"Charcoal"
"602",576,"Charcoal"
"603",577,"Charcoal"
"604",578,"Charcoal"
"605",580,"charcoal"
"606",580,"charcoal"
"607",580,"charcoal"
"608",580,"Charcoal"
"609",580,"Wood"
"610",580,"Charcoal"
"611",584,"Wood"
"612",585,"charcoal"
"613",586,"Charcoal"
"614",586,"Charcoal"
"615",586,"Charcoal"
"616",589,"Charcoal"
"617",589,"Charcoal"
"618",590,"charcoal"
"619",590,"bone"
"620",590,"charcoal"
"621",590,"charcoal"
"622",590,"charcoal"
"623",590,"Charcoal"
"624",590,"Charcoal"
"625",590,"Charcoal"
"626",590,"Charcoal"
"627",590,"Charcoal"
"628",595,"charcoal"
"629",595,"charcoal"
"630",595,"charcoal"
"631",596,"Charcoal"
"632",597,"Charcoal"
"633",597,"Charcoal"
"634",598,"Charcoal"
"635",600,"charcoal"
"636",600,"charcoal"
"637",600,"charcoal"
"638",600,"charcoal"
"639",600,"charcoal"
"640",600,"Charcoal"
"641",600,"Charcoal"
"642",600,"Charcoal"
"643",600,"Charcoal"
"644",600,"Charcoal"
"645",600,"Birchbark"
"646",601,"Charcoal"
"647",602,"Charcoal"
"648",603,"Charcoal"
"649",604,"Charcoal"
"650",605,"charcoal"
"651",606,"Charcoal"
"652",606,"Wood"
"653",607,"Charcoal"
"654",607,"Charcoal"
"655",610,"charcoal"
"656",610,"charcoal"
"657",610,"Charcoal"
"658",610,"Charcoal"
"659",610,"Charcoal"
"660",610,"Charcoal"
"661",610,"Charcoal"
"662",610,"Charcoal"
"663",610,"Charcoal"
"664",613,"Charcoal"
"665",615,"charcoal"
"666",616,"Charcoal"
"667",616,"Charcoal"
"668",618,"Charcoal"
"669",620,"charcoal"
"670",620,"Charcoal"
"671",620,"Charcoal"
"672",620,"Charcoal"
"673",620,"Charcoal"
"674",620,"Charcoal"
"675",621,"Charcoal"
"676",622,"Charcoal"
"677",624,"Charcoal"
"678",624,"Charcoal"
"679",625,"rye"
"680",625,"charcoal"
"681",625,"Charcoal"
"682",625,"Charcoal"
"683",626,"Charcoal"
"684",627,"Charcoal"
"685",627,"Charcoal"
"686",629,"Charcoal"
"687",630,"Charcoal"
"688",630,"Charcoal"
"689",630,"Charcoal"
"690",630,"Charcoal"
"691",631,"Charcoal"
"692",632,"bone"
"693",633,"Charcoal"
"694",634,"Charcoal"
"695",635,"Charcoal"
"696",635,"charcoal"
"697",635,"Charcoal"
"698",635,"Charcoal"
"699",635,"Charcoal"
"700",636,"Charcoal"
"701",637,"Charcoal"
"702",637,"Charcoal"
"703",637,"bone"
"704",640,"charcoal"
"705",640,"charcoal"
"706",640,"charcoal"
"707",640,"Charcoal"
"708",640,"Charcoal"
"709",640,"Charcoal"
"710",640,"Charcoal"
"711",640,"Charcoal"
"712",642,"bone"
"713",642,"Charcoal"
"714",643,"bone"
"715",644,"Charcoal"
"716",645,"Charcoal"
"717",645,"Charcoal"
"718",646,"Charcoal"
"719",649,"Wood"
"720",650,"mortar"
"721",650,"mortar"
"722",650,"charcoal"
"723",650,"Charcoal"
"724",650,"Charcoal"
"725",650,"Charcoal"
"726",650,"Charcoal"
"727",652,"Charcoal"
"728",654,"Birchbark"
"729",654,"Charcoal"
"730",654,"Charcoal"
"731",654,"Charcoal"
"732",655,"charcoal"
"733",655,"charcoal"
"734",655,"Charcoal"
"735",655,"Charcoal"
"736",656,"Charcoal"
"737",656,"Charcoal"
"738",657,"Tooth"
"739",658,"Charcoal"
"740",659,"Charcoal"
"741",660,"Charcoal"
"742",660,"charcoal"
"743",660,"charcoal"
"744",660,"charcoal"
"745",660,"charcoal"
"746",660,"Charcoal"
"747",660,"Charcoal"
"748",660,"Charcoal"
"749",660,"Charcoal"
"750",660,"Charcoal"
"751",660,"Charcoal"
"752",660,"Charcoal"
"753",660,"Charcoal"
"754",662,"Charcoal"
"755",663,"Charcoal"
"756",663,"Charcoal"
"757",664,"Charcoal"
"758",665,"charcoal"
"759",665,"macrofossil"
"760",667,"Charcoal"
"761",670,"Charcoal"
"762",670,"mortar"
"763",670,"charcoal"
"764",670,"charcoal"
"765",670,"Charcoal"
"766",670,"Charcoal"
"767",671,"Charcoal"
"768",672,"Charcoal"
"769",673,"Charcoal"
"770",673,"Charcoal"
"771",674,"Charcoal"
"772",674,"Charcoal"
"773",674,"Charcoal"
"774",674,"Charcoal"
"775",675,"Charcoal"
"776",676,"Charcoal"
"777",680,"charcoal"
"778",680,"Charcoal"
"779",680,"Charcoal"
"780",680,"Charcoal"
"781",680,"Charcoal"
"782",680,"Charcoal"
"783",680,"Charcoal"
"784",680,"Wood"
"785",682,"Charcoal"
"786",683,"Charcoal"
"787",684,"Bark"
"788",685,"charcoal"
