"","LabID","weighted_mean","long","lat","Material"
"1815","Lu-755",8501.80732836449,13.4085,55.9317,"bone"
"1816","Lu-756",7049.63612360718,13.06,55.61,"charcoal"
"1817","Lu-757",7195.2547255051,13.06,55.61,"charcoal"
"1818","Lu-758",7801.82859426031,13.061,55.691,"charcoal"
"1819","Lu-759",8139.35277704305,13.061,55.691,"charcoal"
"1820","Lu-760",8434.13812039686,13.4098,55.932,"bone"
"1821","Lu-801",4664.39124730383,14.11667,55.43333,"charcoal"
"1822","Lu-803",3405.25167289945,12.95,55.983,"wood"
"1823","Lu-804",3382.44046986274,12.95,55.983,"collagen bone"
"1824","Lu-808",4250.80368034607,14.11667,55.43333,"charcoal"
"1825","Lu-809",4579.89727073021,14.11667,55.43333,"charcoal"
"1826","Lu-836",3943.63370935607,13.10039,55.83356,"charcoal"
"1827","Lu-838",3700.0047721284,12.97266,55.73723,"charcoal"
"1828","Lu-845",3820.63941240472,13.05,55.56667,"collagen bone"
"1829","Lu-854",7892.39976731451,13.061,55.691,"bone"
"1830","Lu-855:1",7848.82237631059,13.061,55.691,"bone"
"1831","Lu-855:2",7955.98833088597,13.061,55.691,"bone"
"1832","Lu-871",8736.39345611609,13.4085,55.9317,"bone"
"1833","Lu-872",8046.9221981234,13.4085,55.9317,"bone"
"1834","Lu-873",8846.54541276652,13.4098,55.9322,"charcoal"
"1835","Lu-874",8563.9645707886,13.4085,55.9317,"charcoal"
"1836","Lu-875",8820.6344094822,13.4085,55.9317,"charcoal"
"1837","Lu-963",7653.96579389126,13.42,55.93,"charcoal"
"1838","Lu-965",3291.13239392171,12.95,55.983,"charcoal"
"1839","Lu-966",3346.27803472141,12.95,55.983,"charcoal"
"1840","Lu-991",8578.08504685718,13.4098,55.932,"charcoal"
"1841","Lu-992",9208.67260400378,13.4085,55.9317,"charcoal"
"1842","Lu-993",8723.12019976751,13.4085,55.9317,"charcoal"
"1843","Lu-994",8846.54541276652,13.4085,55.9317,"charcoal"
"1844","LuA-3969",12956.706381186,13.3177,55.5849,"bone"
"1845","LuA-4391",2620.83709448654,12.78351,55.98362,""
"1846","LuA-4392",2835.43678826878,12.78351,55.98362,""
"1847","LuA-4398",2620.83709448654,12.78351,55.98362,""
"1848","LuA-4399",2721.17973850376,12.78351,55.98362,""
"1849","LuA-4400",3109.79580533058,12.78351,55.98362,""
"1850","LuA-4489",13296.5184190795,13.3177,55.5849,"bone"
"1851","LuA-4490",12458.6109766508,13.3177,55.5849,"bone"
"1852","LuA-4491",12886.8415046269,13.3177,55.5849,"bone"
"1853","LuA-4493",12724.8122624422,13.3177,55.5849,"bone Coelodonta antiquitatis Linty"
"1854","LuA-4494",12567.7280920438,13.3177,55.5849,"bone"
"1855","LuA-4495",11898.1915963848,13.3177,55.5849,"bone"
"1856","LuA-4496",12300.3581707158,13.3177,55.5849,"bone Coelodonta antiquitatis Linty"
"1857","LuA-4637",7566.17136175913,12.138,55.713,""
"1858","LuA-4638",8086.39746573465,12.138,55.713,""
"1859","LuA-5273",5534.82061121605,13.11,55.58,"charcoal"
"1860","LuA-5525",2415.94442091501,18.46202,57.7559,"wood"
"1861","LuS-10842",3908.58637759821,9.816126,59.10568,"Pottery"
"1862","LuS-11115",7884.84224203907,10.3576,59.2298,"Charcoal"
"1863","LuS-12352",2102.61386932162,11.1,59.29,"Charcoal"
"1864","LuS-12353",2576.97196516196,11.1,59.29,"Charcoal"
"1865","LuS-12354",2653.02989370119,11.1,59.29,"Charcoal"
"1866","LuS-12355",2471.75314355238,11.1,59.29,"Charcoal"
"1867","LuS-12356",2187.54085593694,11.1,59.29,"Charcoal"
"1868","LuS-12357",2930.63535689111,11.1,59.29,"Charcoal"
"1869","LuS-12358",2448.83007080477,11.1,59.29,"Charcoal"
"1870","LuS-12359",3026.34351426907,11.1,59.29,"Charcoal"
"1871","LuS-12360",3086.2924505931,11.1,59.29,"Charcoal"
"1872","LuS-12361",2471.75314355238,11.1,59.29,"Charcoal"
"1873","LuS-12364",2492.00664207083,11.1,59.29,"Charcoal"
"1874","LuS-12365",1570.3233948005,11.1,59.29,"Charcoal"
"1875","LuS-12366",2548.40594942504,11.1,59.29,"Charcoal"
"1876","LuS-12367",2964.83107441772,11.1,59.29,"Charcoal"
"1877","LuS-12368",3053.16663078208,11.1,59.29,"Charcoal"
