"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5235",153763,"T1914",7250,100,"Shell","","","",28.846,70.0703,2,"","","Lossoas hus (Nyelv 1)","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5236",153764,"T1915",4190,80,"Shell","","","",28.846,70.0703,2,"","","Nyelv Nedre Vest (Nyelv 2)Hus 3","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5237",153765,"T1916",3750,70,"Shell","","","",28.81876,70.074772,2,"","","Gressbakken NVHus 9","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5238",153766,"T1917",4210,90,"Shell","","","",28.81876,70.074772,2,"","","Gressbakken NVHus 3","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5239",153767,"T1918",3660,80,"Shell","","","",28.81876,70.074772,2,"","","Gressbakken NVHus 12","Norway","","Europe","Jorgensen_2020",""
"5240",153768,"T19461",3350,60,"Charcoal","","","",23.581,69.202,2,"","","Kautokeinoelva I","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5241",153769,"T19589",2470,65,"Charcoal","","","",19.7072,68.4854,2,"","","Stryket 10","Norway","","Europe","Jorgensen_2020",""
"5242",153771,"T196",4700,150,"Charcoal","","","",28.57979,70.111422,2,"","","Gropbakkeengenhus 4","Norway","","Europe","Jorgensen_2020",""
"5243",153772,"T197",4800,150,"Charcoal","","","",28.7869,70.0758,2,"","","AdvikHus f","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5244",153773,"T198",3650,150,"Charcoal","","","",28.81876,70.074772,2,"","","Gressbakken NVHus 3","Norway","","Europe","Jorgensen_2020","Radiocarbon 1962 174"
"5245",153774,"T2003",3640,180,"Charcoal","","","",29.7847,69.4002,2,"","","Melkefoss","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5246",153775,"T20064",2990,85,"Charcoal","","","",20.2803,68.83051,2,"","","St. Rosta","Norway","","Europe","Jorgensen_2020",""
"5247",153776,"T2048",3100,70,"Charcoal","","","",27.959185,70.814046,2,"","","IversfjordHus 18","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5248",153777,"T2049",2600,70,"Charcoal","","","",27.959185,70.814046,2,"","","IversfjordHus 19","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5249",153778,"T2050",2490,100,"Charcoal","","","",27.959185,70.814046,2,"","","IversfjordHus 19","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
