"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5869",155317,"TUa-3003",2299,55,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5870",155318,"TUa-3004",1298,63,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5871",155319,"TUa-3005",2316,67,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5872",155320,"TUa-3006",2555,67,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5873",155321,"TUa-3007",315,61,"Wood","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5874",155322,"TUa-3008",1543,67,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5875",155323,"TUa-3009",2377,66,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5876",155324,"TUa-3010",1841,67,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5877",155325,"TUa-3011",2988,71,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5878",155328,"TUa-3042",1502,59,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5879",155329,"TUa-3043",1679,63,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5880",155330,"TUa-3044",1777,62,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5881",155331,"TUa-3045",1565,64,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5882",155332,"TUa-3046",769,69,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5883",155333,"TUa-3047",1572,68,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5884",155334,"TUa-3049",6822,81,"Nutshell","","","",10.666667,59.866667,2,"","","Skoklefald","Norway","","Europe","Solheim_Norway",""
"5885",155335,"TUa-3085",5001,79,"Charcoal","","","",10.383333,59.55,2,"","","Sandvigen/Berger","Norway","","Europe","Solheim_Norway",""
"5886",155336,"TUa-3086",5113,70,"Charcoal","","","",10.383333,59.55,2,"","","Sandvigen/Berger","Norway","","Europe","Solheim_Norway",""
"5887",155337,"TUa-3087",5076,71,"Charcoal","","","",10.383333,59.55,2,"","","Sandvigen/Berger","Norway","","Europe","Solheim_Norway",""
"5888",155338,"TUa-3088",5064,69,"Charcoal","","","",10.383333,59.55,2,"","","Sandvigen/Berger","Norway","","Europe","Solheim_Norway",""
"5889",155339,"TUa-3089",5053,70,"Charcoal","","","",10.383333,59.55,2,"","","Sandvigen/Berger","Norway","","Europe","Solheim_Norway",""
"5890",155340,"TUa-3115",5295,77,"Charcoal","","","",10.583333,59.65,2,"","","Slottet","Norway","","Europe","Solheim_Norway",""
"5891",155341,"TUa-3116",3548,69,"Charcoal","","","",5.49,60.45,2,"","","Hausvik industriområde","Norway","","Europe","Solheim_Norway",""
"5892",155342,"TUa-3117",3603,72,"Charcoal","","","",5.49,60.45,2,"","","Hausvik industriområde","Norway","","Europe","Solheim_Norway",""
"5893",155343,"TUa-3174",1786,70,"Charcoal","","","",10.8,59.65,2,"","","Moer Nordre","Norway","","Europe","Solheim_Norway",""
"5894",155344,"TUa-3178",4755,70,"Charcoal","","","",11.05,59.283333,2,"","","Bjørnstad søndre","Norway","","Europe","Solheim_Norway",""
"5895",155345,"TUa-3179",3558,67,"Charcoal","","","",11.05,59.283333,2,"","","Bjørnstad søndre","Norway","","Europe","Solheim_Norway",""
"5896",155346,"TUa-3180",2088,70,"Cereal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5897",155347,"TUa-3181",2209,68,"Cereal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5898",155348,"TUa-3182",1956,63,"Cereal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5899",155349,"TUa-3183",2217,72,"Cereal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5900",155350,"TUa-3184",2110,62,"Cereal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5901",155351,"TUa-3185",3506,74,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5902",155352,"TUa-3186",1780,70,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5903",155353,"TUa-3187",3304,72,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5904",155354,"TUa-3188",1692,72,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5905",155355,"TUa-3189",3085,75,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5906",155356,"TUa-3222",430,50,"Hazel nutshell","","","",11.2507,59.1021,2,"","","Berget 1","Norway","","Europe","Solheim_Norway",""
"5907",155357,"TUa-3223",400,50,"Hazel nutshell","","","",11.2507,59.1021,2,"","","Berget 1","Norway","","Europe","Solheim_Norway",""
"5908",155358,"TUa-3224",305,55,"Hazel nutshell","","","",11.2507,59.1021,2,"","","Berget 1","Norway","","Europe","Solheim_Norway",""
"5909",155359,"TUa-3225",5190,75,"Charcoal","","","",11.2507,59.1021,2,"","","Berget 1","Norway","","Europe","Solheim_Norway",""
"5910",155360,"TUa-3226",3695,55,"Hazel nutshell","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5911",155361,"TUa-3227",7180,80,"Hazel nutshell","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5912",155362,"TUa-3228",6975,90,"Hazel nutshell","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5913",155363,"TUa-3229",7015,75,"Hazel nutshell","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5914",155364,"TUa-3230",2060,75,"Charcoal","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5915",155365,"TUa-3231",695,65,"Hazel nutshell","","","",11.2507,59.1021,2,"","","Berget 2","Norway","","Europe","Solheim_Norway",""
"5916",155366,"TUa-3232",1175,65,"Hazel nutshell","","","",11.2507,59.1021,2,"","","Berget 2","Norway","","Europe","Solheim_Norway",""
"5917",155367,"TUa-3233",6375,75,"Hazel nutshell","","","",11.25099,59.097606,2,"","","Torpum 9b","Norway","","Europe","Solheim_Norway",""
"5918",155368,"TUa-3234",6250,85,"Hazel nutshell","","","",11.25099,59.097606,2,"","","Torpum 9b","Norway","","Europe","Solheim_Norway",""
"5919",155369,"TUa-3235",2170,75,"Charcoal","","","",11.258164,59.110206,2,"","","Langkas","Norway","","Europe","Solheim_Norway",""
"5920",155370,"TUa-325",1714,70,"Charcoal","","","",10.466667,59.366667,2,"","","Gunnerød","Norway","","Europe","Solheim_Norway",""
"5921",155371,"TUa-326",1447,71,"Charcoal","","","",10.466667,59.366667,2,"","","Gunnerød","Norway","","Europe","Solheim_Norway","J√∏rgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5922",155372,"TUa-327",1506,82,"Charcoal","","","",10.466667,59.366667,2,"","","Gunnerød","Norway","","Europe","Solheim_Norway",""
"5923",155373,"TUa-3272",2655,65,"Charcoal","","","",11.250539,59.101251,2,"","","Torpum 8","Norway","","Europe","Solheim_Norway",""
"5924",155374,"TUa-3273",1795,70,"Charcoal","","","",11.25148,59.095726,2,"","","Torpum 13","Norway","","Europe","Solheim_Norway",""
"5925",155375,"TUa-3274",3525,70,"Charcoal","","","",11.25148,59.095726,2,"","","Torpum 13","Norway","","Europe","Solheim_Norway",""
"5926",155376,"TUa-3275",5660,70,"Charcoal","","","",11.2507,59.1021,2,"","","Berget 1","Norway","","Europe","Solheim_Norway",""
