"","Age"
"1709",1068
"1710",1069
"1711",1070
"1712",1070
"1713",1070
"1714",1070
"1715",1070
"1716",1070
"1717",1070
"1718",1070
"1719",1070
"1720",1070
"1721",1070
"1722",1070
"1723",1070
"1724",1070
"1725",1072
"1726",1075
"1727",1077
"1728",1079
"1729",1080
"1730",1080
"1731",1080
"1732",1082
"1733",1082
"1734",1083
"1735",1084
"1736",1085
"1737",1085
"1738",1085
"1739",1085
"1740",1086
"1741",1088
"1742",1088
"1743",1088
"1744",1088
"1745",1090
"1746",1090
"1747",1090
"1748",1090
"1749",1090
"1750",1090
"1751",1090
"1752",1090
"1753",1090
"1754",1090
"1755",1091
"1756",1093
"1757",1095
"1758",1095
"1759",1095
"1760",1095
"1761",1095
"1762",1095
"1763",1096
"1764",1096
"1765",1099
"1766",1100
"1767",1100
"1768",1100
"1769",1100
"1770",1100
"1771",1100
"1772",1100
"1773",1100
"1774",1100
"1775",1100
"1776",1100
"1777",1102
"1778",1102
"1779",1104
"1780",1105
"1781",1105
"1782",1106
"1783",1107
"1784",1108
"1785",1109
"1786",1110
"1787",1110
"1788",1110
"1789",1110
"1790",1110
"1791",1110
"1792",1114
"1793",1115
"1794",1115
"1795",1115
"1796",1115
"1797",1118
"1798",1119
"1799",1120
"1800",1120
"1801",1120
"1802",1120
"1803",1120
"1804",1120
"1805",1120
"1806",1120
"1807",1120
"1808",1120
"1809",1120
"1810",1120
"1811",1120
"1812",1120
"1813",1125
"1814",1125
"1815",1130
"1816",1130
"1817",1130
"1818",1130
"1819",1130
"1820",1130
"1821",1130
"1822",1130
"1823",1130
"1824",1130
"1825",1131
"1826",1132
"1827",1132
"1828",1133
"1829",1133
"1830",1135
"1831",1135
"1832",1135
"1833",1135
"1834",1135
"1835",1135
"1836",1135
"1837",1137
"1838",1138
"1839",1138
"1840",1139
"1841",1140
"1842",1140
"1843",1140
"1844",1140
"1845",1140
"1846",1140
"1847",1140
"1848",1140
"1849",1140
"1850",1140
"1851",1140
"1852",1140
"1853",1140
"1854",1143
"1855",1145
