"calBP","conN","decN","wetwN","wetmN","pasN","araN","heaN"
6500,2.86651746429625,4.0385057983143,0.951954078364067,0.329220920476749,0.211219349754973,0.0120949058335098,0.499988716650331
6600,2.29954707987213,2.60369651127271,0.42030198929623,0.187963720247968,0.204591905620303,0.0306640299312684,0.270296528813269
6700,2.27612634859062,3.05558405742584,0.677055397603539,0.319870707112536,0.1660693640989,0.00671708655414016,0.262072603699141
6800,2.78680655016913,3.23511025282955,0.741239416093731,0.267336156254057,0.161260985310132,0.00998557176263802,0.262868635876869
6900,2.19675946415936,1.71459639143075,0.322106279104019,0.13568557103407,0.119695458970518,0.0104123444560102,0.200589218142534
7000,1.93023704531483,2.15095180238556,0.630485875556445,0.228678448524178,0.133351018164065,0.00964894372838998,0.20597915417355
7100,4.30933660597944,4.71973703105453,0.975436633169427,0.46935315728727,0.281740965653405,0.0392261455311112,0.357432822261158
7200,2.07807405818278,2.13055076836682,0.339296170345911,0.119105907850811,0.110585722874719,0.0104813664596273,0.116750167048379
7300,2.63398665032938,3.00691354493819,0.841151731560497,0.331995175753985,0.300882331482334,0.0506590281884323,0.35835282548396
7400,2.52919086071633,2.66353045821492,0.7138784497613,0.169184931753335,0.148142639834944,0.0208374826188039,0.21189676437729
7500,2.79769708260865,4.10909193850746,0.824848444408813,0.474016421183213,0.391993705432264,0.0173256733553698,0.348163927389234
7600,3.61976029295135,6.01563946804347,1.08746826373238,0.373661905974344,0.386523729910557,0.051135948843632,0.625033868362094
7700,1.77214456578186,2.46513967477712,0.480676692649587,0.197218313862112,0.21400823086011,0.00722425058113695,0.230824976062353
7800,2.01132424804828,3.38447605297184,0.824306620458007,0.290407504222016,0.246005833101661,0.00978494623655914,0.629969345115256
7900,2.55283359540767,5.27048818048753,1.02989410706533,0.343872895852292,0.344311380241312,0.0189199503525199,0.507894978365926
8000,2.03329548566366,3.02798532590088,0.667522883499633,0.181791513922961,0.309891745669947,0.0306366138256673,0.386954303668088
8100,1.38027411750264,3.34862861819308,0.49356181910004,0.22651828732337,0.315920647871787,0.0161410544420255,0.439712578023108
8200,1.95899200267676,3.48999417179264,0.228670160627732,0.224982911220417,0.219069408719832,0.0162380814533851,0.400119108849295
8300,2.13077450830277,4.26391810640483,0.301100987784756,0.301476717525625,0.509342064468027,0.0242849282396013,0.53676443945196
8400,0.645374531006623,2.24760275198481,0.136373685948625,0.0699189215422985,0.10629846072861,0,0.1956553341633
8500,1.89275302323068,4.99999493025816,0.350059188480823,0.394673060020805,0.55919344499945,0.0318002879616418,0.538160568890908
8600,2.08001667623078,4.28993366753767,0.19757920771919,0.176148355399311,0.270634447331781,0.0157181961699546,0.241765539014265
8700,1.32203846225172,4.42081360323095,0.224491173836135,0.232011221234488,0.451325086138275,0.017960542040534,0.317068636376136
8800,0.580293734955542,1.40008866597302,0.108975042858479,0.0849057993281459,0.245983848520328,0.0069438719299692,0.168711306394215
8900,1.14863429862772,4.66213434799936,0.193753747498305,0.187761835674727,0.339469288420085,0.026748831281329,0.290568624314899
9000,1.25414826934306,5.00565671739743,0.23863311182982,0.215584648988784,0.336682003470821,0.0196030209788457,0.295285039685578
9100,0.558101318281092,1.2567214790884,0.269685433568676,0.116433391211056,0.105538514902001,0.0168300653594771,0.0639639585135711
9200,1.63035105647616,6.44791331939032,0.240709417169841,0.277956839848529,0.538463546944297,0.0376116997723189,0.476887888862884
9300,0.34219087635054,1.52335034013605,0.0332122849139655,0.0866746698679473,0.191494597839136,0.017327931172469,0.120337134853942
9400,0.679623879204589,4.8838259588916,0.148620557835122,0.214052535102291,0.25567229000271,0.74957688862699,0.209562720493158
9500,0.596667454826668,3.28163598851855,0.142265070919581,0.145396883083438,0.434296715450966,1.50255113040349,0.267306915942955
9600,0.574529746763556,3.63855596828553,0.333979135338892,0.38337632825835,0.442154156033773,2.18756929008395,0.135700049107832
9700,0.884658835606729,3.82008610377928,0.209620515869472,0.282920834216702,0.484569232592037,1.39733547642749,0.427447204685581
