names.bigdf_familynames.,LCC
Rubus.saxatilis,wet woodland
Rumex,arable
Rumex.acetosa,pasture
Rumex.acetosa.R..acetosella,pasture
Rumex.acetosella,pasture
Rumex.longifolius,arable
Rumex.Oxyria,arable
Rumex.Oxyria.digyna,arable
Sagina,ruderal
Sagittaria,water
Salix,wet woodland
Salix.herbacea,wet woodland
Salsola.kali,water
Sambucus,wet woodland
Sambucus.nigra.S..racemosa,wet woodland
Sanguisorba,pasture
Sanguisorba.officinalis,pasture
Sanicula,deciduous woodland
Saussurea,wet woodland
Saussurea.nuda,wet woodland
Saxifraga,cliff
Saxifraga.cernua,cliff
Saxifraga.cernua.S..rivularis,cliff
Saxifraga.cespitosa,cliff
Saxifraga.granulata,cliff
Saxifraga.hirculus,cliff
Saxifraga.oppositifolia,cliff
Saxifraga.stellaris,cliff
Saxifragaceae,cliff
Scheuchzeria,wet meadow
Scheuchzeria.palustris,wet meadow
Schoenoplectus.lacustris,water
Schoenus,wet meadow
Scilla,NA
Scleranthus.annuus,arable
Scrophularia,NA
Scrophulariaceae,NA
Scutellaria,water
Secale,arable
Secale.cereale,arable
Sedum,cliff
Sedum.acre,cliff
Selaginella,wet meadow
Selaginella.selaginoides,wet meadow
Serratula,pasture
Sibbaldia,cliff
Silene,NA
Silene.acaulis,cliff
Silene.dioica,wet meadow
Silene.flos.cuculi,wet meadow
Silene.viscaria,NA
Silene.vulgaris,pasture
Sinapis,arable
Solanum.dulcamara,water
Solidago,NA
Sorbus,deciduous woodland
Sorbus.aria,deciduous woodland
Sorbus.aucuparia,deciduous woodland
Sparganium,water
Sparganium.emersum,water
Sparganium.erectum,water
Spergula,arable
Spergula.arvensis,arable
Spergula.Spergularia,arable
Spergularia,ruderal
Sphagnum,wet woodland
Stachys,NA
Stachys.sylvatica,deciduous woodland
Stellaria,pasture
Stuckenia,water
Succisa,pasture
Succisa.pratensis,pasture
Taraxacum,pasture
Taxus,coniferous woodland
Taxus.baccata,coniferous woodland
Tetraedron.minimum,water
Teucrium,wet meadow
Thalictrum,pasture
Thelypteris.palustris,wet meadow
Tilia,deciduous woodland
Tilia.cordata,deciduous woodland
Tofieldia,wet meadow
Tofieldia.pusilla,wet meadow
Trapa,water
Trientalis.europaea,NA
Trifolium,pasture
Trifolium.pratense,pasture
Trifolium.repens,pasture
Triticum,arable
Trollius,wet meadow
Trollius.europaeus,wet meadow
Typha,water
Typha.angustifolia,water
Typha.angustifolia.Sparganium,water
Typha.latifolia,water
Typhaceae,water
Ulmus,deciduous woodland
Ulmus.glabra,deciduous woodland
Urtica,pasture
Utricularia,water
Vaccinium,coniferous woodland
Valeriana,wet meadow
Valeriana.excelsa,wet meadow
Valeriana.officinalis,wet meadow
Varia,NA
Verbascum,ruderal
Veronica,pasture
Viburnum,deciduous woodland
Viburnum.opulus,deciduous woodland
Vicia,pasture
Vicia.cracca,pasture
Vicia.Lathyrus,pasture
Vicia.sylvatica,pasture
Viola.palustris,pasture
Viscum,deciduous woodland
Viscum.album,deciduous woodland
Woodsia,cliff
Xanthium,ruderal
