"yearsBP","conSW","decSW","wetwSW","wetmSW","pasSW","araSW","heaSW","SPD","clim","conSWs","decSWs","wetwSWs","wetmSWs","pasSWs","araSWs","heaSWs"
2100,1270,1520,486,188,256,12,182,0.128463840257566,3.90786568197,1279,1876,629.6,225,358,12,209.5
2000,1365,1645,436,329,388,8,247,0.111238279988542,4.78831447686,1430.5,1582.5,547.6,258.666666666667,322,10,214.5
1900,2074,2732,890,416,652,18,376,0.10352741115743,4.9277335239,1523,2188.5,626.8,311,520,13,311.5
1800,1147,1606,478,381,462,11,279,0.147729895084431,5.91391185845,1464,2169,599.4,375.333333333333,557,14.5,327.5
1700,1324,2234,839,298,400,11,202,0.214449480266609,6.07570781793,1477.5,1920,625.8,365,431,11,240.5
1600,989,1635,556,204,347,7,164,0.243516251547699,6.39635294257,1383.5,1934.5,639.8,294.333333333333,373.5,9,183
1500,1297,1919,651,193,348,12,214,0.234364632536553,5.84007062785,1189.25,1777,682.8,231.666666666667,347.5,9.5,189
1400,1071,1445,459,148,407,7,166,0.179701685685175,4.49908192613,1170.25,1682,596.6,181.666666666667,377.5,9.5,190
1300,1161,1823,427,249,372,5,165,0.101451081204053,5.3530891215,1129.5,1634,586.4,196.666666666667,389.5,6,165.5
1200,874,1877,483,164,346,11,185,0.108175723992644,5.66771480645,1100.75,1850,515.2,187,359,8,175
1100,1323,2451,506,307,525,39,276,0.112556720927161,4.94740256076,1107.25,2164,505.2,240,435.5,25,230.5
1000,1356,2715,842,306,633,31,299,0.163480908040558,5.35303612264,1178.5,2583,543.4,259,579,35,287.5
900,1100,1933,533,199,420,29,257,0.220864993360233,5.05271548462,1163.25,2324,558.2,270.666666666667,526.5,30,278
800,1898,2968,839,470,749,32,507,0.276337594499636,4.96403272502,1419.25,2450.5,640.6,325,584.5,30.5,382
700,1518,2099,612,278,442,19,262,0.351820213709026,4.37176654053,1468,2533.5,666.4,315.666666666667,595.5,25.5,384.5
