"yearsBP","conN","decN","wetwN","wetmN","pasN","araN","heaN","SPD","clim","conNs","decNs","wetwNs","wetmNs","pasNs","araNs","heaNs"
8000,2.03329548566366,3.02798532590088,0.667522883499633,0.181791513922961,0.309891745669947,0.0306366138256673,0.386954303668088,0.0461181282026373,-2.43499661665,1.67357727806386,3.76110889691288,0.463251621075802,0.225940123523659,0.327192888541348,0.0233888341338466,0.391304553151561
7900,2.55283359540767,5.27048818048753,1.02989410706533,0.343872895852292,0.344311380241312,0.0189199503525199,0.507894978365926,0.0710349859267223,-1.5266950666,1.78359070676002,3.86731821906995,0.730326269888334,0.239922832850885,0.337718164671281,0.0247782820890938,0.429323044487512
7800,2.01132424804828,3.38447605297184,0.824306620458007,0.290407504222016,0.246005833101661,0.00978494623655914,0.629969345115256,0.0689319194014979,-1.28821349932,2.01124899293363,3.75413601724922,0.840574537007657,0.254205226453723,0.292977077257311,0.0143524482945398,0.442438583948133
7700,1.77214456578186,2.46513967477712,0.480676692649587,0.197218313862112,0.21400823086011,0.00722425058113695,0.230824976062353,0.0561370787218533,-0.895582606312,1.95147733584681,3.43727911031409,0.778292473390975,0.229523383183886,0.308364187276097,0.00850459840884828,0.447462818505141
7600,3.61976029295135,6.01563946804347,1.08746826373238,0.373661905974344,0.386523729910557,0.051135948843632,0.625033868362094,0.0509984959689602,-0.800511634554,2.22827205089258,3.90828369982142,0.797483858946658,0.267491256237892,0.290818710910744,0.0291800997123847,0.460072736920874
7500,2.79769708260865,4.10909193850746,0.824848444408813,0.474016421183213,0.391993705432264,0.0173256733553698,0.348163927389234,0.080189854312084,-1.18788359348,2.46450921174358,3.88893042883425,0.79766446693026,0.289058719195091,0.315522181869663,0.0342308110995011,0.452650568140865
7400,2.52919086071633,2.66353045821492,0.7138784497613,0.169184931753335,0.148142639834944,0.0208374826188039,0.21189676437729,0.0689432185610417,-1.07468548212,2.54715844091902,3.78562246463704,0.875398385967498,0.282083971761705,0.291553895007256,0.0190815779870871,0.420105451905749
7300,2.63398665032938,3.00691354493819,0.841151731560497,0.331995175753985,0.300882331482334,0.0506590281884323,0.35835282548396,0.0765757006830666,-1.22455415588,2.56068395007264,3.74290808048018,0.793292875243537,0.295268582815532,0.290266835837597,0.0357482554036183,0.416019526450873
7200,2.07807405818278,2.13055076836682,0.339296170345911,0.119105907850811,0.110585722874719,0.0104813664596273,0.116750167048379,0.0788877170405923,-1.02609742113,2.57180891842839,3.63072876078842,0.631442117222569,0.287432882056514,0.256877456213798,0.03057019732403,0.360141696262652
7100,4.30933660597944,4.71973703105453,0.975436633169427,0.46935315728727,0.281740965653405,0.0392261455311112,0.357432822261158,0.0753567077854768,-1.15055454141,2.99467425846132,3.56188486710929,0.718628178358612,0.303117914735886,0.261982475149762,0.0248537559953695,0.321207907283495
7000,1.93023704531483,2.15095180238556,0.630485875556445,0.228678448524178,0.133351018164065,0.00964894372838998,0.20597915417355,0.0753815741214467,-0.826920930827,2.7130870505219,3.40769433578601,0.648406226357261,0.295401782773656,0.250460016193184,0.0244375446297508,0.317658504156523
6900,2.19675946415936,1.71459639143075,0.322106279104019,0.13568557103407,0.119695458970518,0.0104123444560102,0.200589218142534,0.0740939705207255,-1.00375189731,2.61293078078035,3.31387642536771,0.642676262609963,0.287710189920151,0.212341691773178,0.0100306440922003,0.257023554125158
6800,2.78680655016913,3.23511025282955,0.741239416093731,0.267336156254057,0.161260985310132,0.00998557176263802,0.262868635876869,0.0505916154850474,-1.20354236006,2.65586672902249,2.96631027346597,0.564610523584732,0.274419471205115,0.179379874612874,0.0101989581093243,0.244838512480534
6700,2.27612634859062,3.05558405742584,0.677055397603539,0.319870707112536,0.1660693640989,0.00671708655414016,0.262072603699141,0.052179890469562,-0.498282691146,2.59622334539936,2.83462178833077,0.58013369760043,0.25515125694628,0.18194083522201,0.00835132915838933,0.252006489526513
6600,2.29954707987213,2.60369651127271,0.42030198929623,0.187963720247968,0.204591905620303,0.0306640299312684,0.270296528813269,0.0986989931756826,-0.828343606892,2.63313551568092,2.82714254496299,0.612865600997833,0.257498605508109,0.168185060098863,0.0186905582427045,0.239427018573557
6500,2.86651746429625,4.0385057983143,0.951954078364067,0.329220920476749,0.211219349754973,0.0120949058335098,0.499988716650331,0.081118841679012,-0.788562921508,2.39266565873372,2.95609157663501,0.683103821754612,0.257151823598455,0.182561292510328,0.0213794678823893,0.294175382802407
6400,1.94969880694791,2.18084079998036,0.332200631734133,0.201814816637838,0.0986598183102675,0.0121054355833068,0.306664676603313,0.0858157712138832,-0.504670985033,2.39590928567257,2.9623778305867,0.568152233131476,0.267490437196833,0.15640684288988,0.0121001707084085,0.286922790565572
6300,3.82479670267397,4.43047395372356,0.726042302777589,0.337685360838799,0.232549008561836,0.0200401790448422,0.44957385481767,0.101936194038529,-0.761597889493,2.667248825425,2.92621994592033,0.670065670958596,0.251031962640774,0.170577984375276,0.0160728073140747,0.321722033514732
6200,2.00697136173815,2.89632334338052,0.419882360878015,0.172926769429374,0.0804271735342065,0.0143615698806593,0.204487383937718,0.135560197242902,-1.15586440035,2.53727629401984,3.0193913885447,0.492708431796579,0.244063002753924,0.164968229312945,0.017200874462751,0.322278914342616
6100,3.67217352300595,3.75570646584779,0.609204451844368,0.391951599336414,0.263919870345646,0.0336574442171185,0.471156128472314,0.098476107112537,-0.85946054975,2.76995082308906,3.27453014784683,0.58504303849999,0.276096256291717,0.179633784318019,0.0240095070488891,0.352034270427679
6000,2.60313563525573,3.75121883797898,0.96701955467176,0.241879488247062,0.152334224785266,0.0206051336172579,0.362120824712209,0.0944618707166596,0.103485178843,2.82054891565299,3.33904372099051,0.665368789131381,0.272914172790842,0.177671621558928,0.0271312889171884,0.366326873429546
5900,2.05708573984612,2.11835501826059,0.407702796213141,0.336893765590752,0.226950612468021,0.0197785150391785,0.330060687391844,0.125349773195378,0.436134211535,2.68564362824464,3.22189009109485,0.661308934243089,0.275042055100619,0.180865722537174,0.0201918243282184,0.374864610369343
5800,4.36272017421147,5.13734066380006,0.946624745094998,0.603743264241939,0.422254268242952,0.0263641468660154,0.628619738273365,0.10056531640595,-0.146398058982,3.0878138561219,3.53859561016077,0.773782365326633,0.327014498099866,0.211013568035456,0.0230713309525972,0.393240470601205
5700,2.72256219312704,2.51931611341623,0.495980001999079,0.258568827983316,0.132366507293784,0.0257977204319715,0.253143923365809,0.102238993915922,-0.334435093494,2.90410810453074,3.34869689954851,0.616769181102406,0.318182986538187,0.215828809318816,0.0260809336489937,0.385594648710133
5600,2.72401959650574,2.89841602217581,0.513004812996439,0.392709258981069,0.245155025529827,0.0215193400730672,0.460858169069356,0.0935155494723838,-0.649076092508,3.02361614365867,3.43839380232294,0.651869853363505,0.342044791831091,0.217629668885672,0.0236585302525196,0.387206693603231
5500,3.74500525335501,3.65766459587518,0.815214347918218,0.249816991716823,0.181229668509153,0.0419966008762627,0.583212699782812,0.129278009203086,-0.492477344047,3.03575476538352,3.3417926325919,0.608066387637912,0.331061245690844,0.232030025310664,0.0317579704746652,0.44131031015253
5400,2.03786269311422,3.25855439899809,0.426112233427846,0.445711359315141,0.251064194498971,0.0240982050372196,0.553693374552583,0.104084323612255,-0.599293234718,2.94154260835993,3.38707151454409,0.584777131447501,0.365159319426564,0.230193500189711,0.0330474029567414,0.453101345306854
5300,2.57259973541208,4.0481922641331,0.560029598372457,0.300408323540378,0.211288049516669,0.0360190948955714,0.526888230872241,0.106817834134943,-0.684067548982,3.02746160762093,3.42363223932976,0.600452059906173,0.35371640995206,0.23861547515134,0.0300586499663957,0.476639546186858
5200,2.39603669898717,2.78227494096399,0.469148822760652,0.215337475057947,0.159447244496669,0.0144194794262871,0.328601681652686,0.0834190615389582,-0.648766264246,2.69968102841688,3.30251425220288,0.485096884853651,0.350398658303421,0.228972136869718,0.0252192871609295,0.47643111679555
5100,2.39813001377891,2.88951286653871,0.334411314546501,0.371244452834455,0.250529359851661,0.0224426695830131,0.487700280488518,0.0878591707025648,-0.701761162484,2.64560899852552,3.39890898323765,0.454529911893203,0.354692494208884,0.204440007099533,0.0184310745046503,0.456299765683429
5000,2.37224129977587,3.33878187293767,0.509485017247991,0.248933047148778,0.210248651079584,0.039746198517939,0.468154911625592,0.0932284964560635,-0.620290414326,2.58697928240388,3.17408913437985,0.437681718185048,0.310341217072238,0.215566027640362,0.0310944340504763,0.487015621149112
4900,3.03380974900799,4.15633833397722,0.45818506672363,0.346503716575191,0.285212977376344,0.0329446190037343,0.581871974083519,0.127003482358447,-0.457834877004,2.46844669834604,3.37871691194997,0.434027132839374,0.321333078146223,0.221288592189864,0.0363454087608369,0.504303307579707
4800,2.62754820723525,4.4417990246084,0.392860146657239,0.339932221337877,0.359055331615542,0.0364897439806118,0.617603101716059,0.13854768963505,-0.184293639907,2.56672761736621,3.57163978725404,0.453510076876286,0.314735948440824,0.24669225834792,0.0347171814921733,0.5092162221416
4700,2.00249950154362,2.75214824302065,0.344068734518076,0.294978132678348,0.297990915559234,0.0370560256574961,0.505920982100263,0.0957073915023408,-0.136906948417,2.47171091172147,3.45845024314723,0.398371315966315,0.320381091061014,0.253396075642243,0.0367728848190542,0.502391594648411
4600,3.2813792175802,3.06421157597823,0.289420802599174,0.369196217011699,0.165034200479852,0.00998778038613765,0.330370444439216,0.0951302069926066,-0.0105101156966,2.61926799815364,3.43415739026975,0.342116561258163,0.310816698273084,0.246788382922698,0.0235219030218171,0.474317625157979
