"yearsBP","conSM","decSM","wetwSM","wetmSM","pasSM","araSM","heaSM","SPD","clim","conSMs","decSMs","wetwSMs","wetmSMs","pasSMs","araSMs","heaSMs"
2700,336,1974,1068,42,843,54,150,0.467884126846064,5.88564868779,653.875,2271.33333333333,995.75,46.3333333333333,681.833333333333,56,98
2600,472,1609,611,49,644,34,58,0.355833471603235,5.36363017886,684.875,2122.33333333333,924.5,47.5,700.5,44,104
2500,1073,2746,782,76,686,78,85,0.361800609693341,5.48099330083,758.375,2216.66666666667,808.75,50.8333333333333,711.666666666667,56,71.5
2400,229,2131,1033,94,572,51,230,0.386597549500892,5.24592006055,627.875,2246.16666666667,873.5,60,700.166666666667,64.5,157.5
2300,1079,3850,1772,118,1222,151,80,0.552104592022231,5.19140358917,678.75,2389.33333333333,1049.5,70,766.333333333333,101,155
2200,830,4041,2164,156,1408,197,137,0.50703791591382,5.39380472001,727.25,2725.16666666667,1437.75,89.1666666666667,895.833333333333,174,108.5
2100,263,1695,703,83,698,90,36,0.462581661600049,4.46294134267,609,2678.66666666667,1418,96,871.666666666667,143.5,86.5
2000,440,2538,1107,63,583,66,298,0.443395485549681,5.13279579009,590.25,2833.5,1436.5,98.3333333333333,861.5,78,167
1900,297,1969,1084,85,639,80,261,0.403104410588389,5.18027865802,585.375,2704,1264.5,99.8333333333333,853.666666666667,73,279.5
1800,1362,5498,2986,173,1206,167,743,0.407127769178347,5.9976526384,696.625,3265.16666666667,1470,113,959.333333333333,123.5,502
1700,505,2400,2364,98,910,140,368,0.443247422371677,6.11661710458,625.625,3023.5,1885.25,109.666666666667,907.333333333333,153.5,555.5
1600,1115,4608,2191,153,1553,264,1020,0.519767826187926,6.35993502562,736.375,3118,2156.25,109.166666666667,931.5,202,694
1500,629,3810,1507,166,1734,470,267,0.501064094238584,5.97305653588,680.125,3470.5,2262,123,1104.16666666667,367,643.5
1400,1597,2694,1299,132,889,255,190,0.442785937968547,4.81009327499,776,3496.5,1840.25,134.5,1155.16666666667,362.5,228.5
