"yearsBP","conMM","decMM","wetwMM","wetmMM","pasMM","araMM","heaMM","SPD","clim","conMMs","decMMs","wetwMMs","wetmMMs","pasMMs","araMMs","heaMMs"
8000,2.05491757195066,2.11685745614249,0.497458324899287,0.0411517762260362,0.0453863543503698,0.00321517896792526,0.0661340284487953,0.0040641501110346,-1.57430244936,2.2281512164696,2.6302336575786,0.767569906360026,0.0527704341454577,0.0662035052242912,0.00453767004508764,0.0959095333167208
7900,1.07594781911436,1.61008831122107,0.588012206159096,0.0180978789899818,0.0183327954549875,0.00396283398900989,0.0142656987910414,0.0182506009697241,-0.471949447788,2.19096849000259,2.59063110211446,0.717346637233438,0.0485216208891306,0.0465346260760321,0.00437177833031834,0.0661233890145592
7800,1.25388571698972,1.96137113092897,0.521907366624591,0.0255097860453601,0.0309559969265542,0.00164352453837254,0.0458473360174539,0.0142562368465575,-0.359384559879,1.94849500508836,2.42110135609599,0.650807700196808,0.0467605505689463,0.0315583822439705,0.00395509029466609,0.0420823544190968
7700,2.31497741666276,3.66368507296122,1.26833956960565,0.0532378451286345,0.0539007413460926,0.00391598745463198,0.0754976786950958,0.0130468516981616,0.183292663978,1.89459740455084,2.5409211373563,0.718929366822156,0.0469143843423481,0.0343965112425448,0.0033855929016062,0.0452035711678637
7600,1.06870437091116,1.49877169157636,0.370087576049708,0.0162462670789786,0.0145324801671548,0.0050251256281407,0.00626992338935978,0.00983792762333354,0.199573096129,1.55368657912573,2.17015473256602,0.687086679609761,0.0445573502974639,0.0331297394799339,0.00355253011561607,0.0425383127006365
7500,2.33220617698015,3.72943568570526,1.08546100782381,0.0553546560676833,0.054571590010087,0.00491709981325141,0.0513686112774534,0.0109819645951527,-0.076158345702,1.60914430013163,2.49267037847858,0.81144888002594,0.0425061675425467,0.0410016038411115,0.0038929142846813,0.044378737787303
7400,1.57738007930282,2.98494248344188,0.827848074692284,0.039176942615383,0.0625379359012739,0.00571644222317823,0.0514885953906904,0.00324127219686088,-0.231575606725,1.70943075216932,2.76764121292274,0.887934057042863,0.0392644636031816,0.0438806686928386,0.00424363593151497,0.0363757100191678
7300,1.38965738012888,2.4051763477959,0.757017111275868,0.0263858724937377,0.0210986074427065,0.00241731593261464,0.0153289211813518,0.00453110089450805,-0.0658524641845,1.73658508479715,2.85640225629612,0.760103442460418,0.0343951280807244,0.0460693777846892,0.00439839421036339,0.0393953759498319
7200,1.5356536507721,3.30153744176414,0.645597585702425,0.0436869620118547,0.0618874566421626,0.0046005321149296,0.0520129314757026,0.0199418642415781,-0.00609890934255,1.58072033161902,2.78397273005671,0.828980944873597,0.0347120263039517,0.048507999995381,0.00453530314242292,0.0396101493492483
7100,0.819482357827756,2.13270207296001,0.650714941948217,0.0271321774723728,0.00790193993989681,0.00634309348627249,0.0145084065428998,0.0120177672482673,0.021962528452,1.53087592900234,2.91075880633344,0.720294428404699,0.0358413136142506,0.0302960013415887,0.00479889671404927,0.0272834197333181
7000,1.77898838392567,3.05301093170456,0.590137252308776,0.0319996850332025,0.0464378881336029,0.00234052324614761,0.0470621263543944,0.0116784130013322,0.533020445295,1.42023237039144,2.7754738555333,0.660866722808822,0.0366525509877309,0.0387424282385541,0.00428358140062851,0.0378611547909989
